Product_SerialNumber,Product_Name,Product_measurement,Product_description,Product_line_number
SN115075284,"LG OLED 55""",36x23x7 cm,"High-quality LG OLED 55"". Perfect for everyday use.",PLN049958
SN990183057,Dyson V15,34x25x6 cm,High-quality Dyson V15. Perfect for everyday use.,PLN009541
SN286516717,Dell XPS 15,31x12x3 cm,High-quality Dell XPS 15. Perfect for everyday use.,PLN027321
SN481182921,MacBook Pro 14,31x25x8 cm,High-quality MacBook Pro 14. Perfect for everyday use.,PLN006199
SN397471112,Dyson V15 Max,39x13x9 cm,High-quality Dyson V15. Perfect for everyday use.,PLN035801
SN613878032,iPhone 15 Pro,13x15x2 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN016441
SN384832300,Samsung T7 SSD,22x24x7 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN004691
SN296937629,Logitech MX Keys,22x7x7 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN048042
SN400252034,iPhone 15 Pro,25x17x8 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN013928
SN144155421,GoPro Hero 12,29x12x4 cm,High-quality GoPro Hero 12. Perfect for everyday use.,PLN016458
SN344312828,Dell XPS 15,22x27x7 cm,High-quality Dell XPS 15. Perfect for everyday use.,PLN020615
SN301736497,MacBook Pro 14,40x11x8 cm,High-quality MacBook Pro 14. Perfect for everyday use.,PLN013455
SN415097547,Logitech MX Keys Ultra,29x27x6 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN007287
SN740174239,Canon EOS R50 Plus,12x20x5 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN036316
SN735746224,Sony WH-1000XM5 Max,20x19x2 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN016663
SN895435051,Samsung Galaxy Tab S9 Pro,28x6x4 cm,High-quality Samsung Galaxy Tab S9. Perfect for everyday use.,PLN048090
SN140875226,iPhone 15 Pro,15x14x10 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN018228
SN533973928,ASUS ZenBook 14 Standard,32x13x2 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN011183
SN778002778,Epson L3250 Standard,22x5x7 cm,High-quality Epson L3250. Perfect for everyday use.,PLN023872
SN626162768,Dyson V15,39x12x2 cm,High-quality Dyson V15. Perfect for everyday use.,PLN020456
SN739298737,Samsung Galaxy S24 Lite,30x22x4 cm,High-quality Samsung Galaxy S24. Perfect for everyday use.,PLN037064
SN474720196,PlayStation 5,11x18x3 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN006134
SN880337248,iPad Air 5 Plus,20x10x9 cm,High-quality iPad Air 5. Perfect for everyday use.,PLN014793
SN646976463,Epson L3250,28x29x1 cm,High-quality Epson L3250. Perfect for everyday use.,PLN015467
